t_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
187231,-9560,-4236,13000,-442,-17,-347,-9524,-2672,12040,-532,-207,-218
187251,-9416,-4160,12736,-429,-56,-332,-9508,-2932,11788,-546,-195,-219
187271,-9436,-4276,12880,-474,-57,-339,-9372,-2840,11956,-544,-210,-207
187291,-9424,-4212,12868,-469,-26,-355,-9580,-2836,12012,-537,-203,-220
187311,-9420,-4192,12852,-444,-55,-350,-9552,-2732,12024,-553,-199,-225
187331,-9428,-4256,13028,-515,-42,-339,-9516,-2820,12080,-549,-205,-231
187351,-9456,-4176,12720,-422,-46,-337,-9412,-2868,11992,-539,-220,-216
187371,-9388,-4112,13012,-471,-52,-341,-9536,-2760,11964,-553,-210,-210
187391,-9404,-4180,12984,-422,-45,-362,-9576,-2792,11924,-560,-219,-222
187411,-9352,-4244,12964,-523,-35,-330,-9536,-2812,11984,-540,-190,-207
187431,-9344,-4244,12836,-474,-45,-395,-9512,-2760,11972,-538,-210,-219
187451,-9392,-4144,12860,-464,-42,-318,-9488,-2824,12016,-543,-201,-209
187471,-9488,-4224,13012,-358,-50,-372,-9560,-2768,11960,-543,-190,-223
187491,-9492,-4292,12864,-546,-25,-346,-9412,-2752,11964,-542,-208,-214
187511,-9372,-4256,12856,-498,-58,-366,-9500,-2808,11972,-534,-194,-203
187531,-9324,-4252,13044,-362,-63,-343,-9564,-2800,12044,-541,-164,-208
187551,-9464,-4224,12868,-487,-30,-341,-9472,-2792,12068,-553,-214,-209
187571,-9436,-4160,13032,-491,-45,-367,-9412,-2756,11908,-521,-188,-233
187591,-9424,-4096,12956,-456,-11,-313,-9464,-2776,12032,-546,-205,-195
187611,-9468,-4220,12848,-440,-42,-379,-9432,-2780,11888,-526,-228,-224
187631,-9412,-4300,12996,-484,-54,-364,-9488,-2740,12016,-558,-200,-238
187651,-9488,-4232,12844,-414,-58,-314,-9416,-2924,12008,-533,-198,-236
187671,-9408,-4236,13120,-422,-71,-369,-9464,-2792,11960,-549,-194,-216
187691,-9428,-4164,12824,-516,-40,-404,-9404,-2772,12088,-531,-194,-219
187711,-9456,-4280,12812,-499,-41,-366,-9528,-2840,11860,-530,-213,-218
187731,-9440,-4252,12964,-409,-35,-329,-9480,-2784,11984,-553,-222,-231
187751,-9552,-4224,12980,-385,-54,-328,-9440,-2736,11988,-553,-202,-219
187771,-9444,-4196,12940,-515,-25,-343,-9408,-2852,11908,-529,-201,-237
187791,-9408,-4212,12832,-470,-65,-394,-9512,-2760,12092,-540,-200,-216
187811,-9372,-4220,12856,-478,-48,-316,-9452,-2792,11928,-540,-204,-210
187831,-9448,-4136,12928,-416,-33,-343,-9500,-2824,12060,-538,-213,-234
187851,-9264,-4268,13012,-462,-9,-329,-9528,-2828,11936,-531,-203,-224
187871,-9412,-4152,12828,-513,-53,-349,-9468,-2812,11960,-542,-200,-200
187891,-9468,-4244,12972,-475,-66,-368,-9520,-2780,12040,-521,-184,-226
187911,-9384,-4236,12924,-371,-56,-377,-9456,-2732,11828,-542,-200,-207
